Flood,FloodNew,Aspect,Rainfall,CurvPlan,DEM,NDVI,FlowAccum,FlodDistH,FlodDistV,Hillshade,Slope,SPI,TWI
0,0,35,23,365193568,207,1374,0,0,55,31,81,0,-5
0,0,98,23,1936256128,213,1374,0,0,61,0,68,0,-4
0,0,223,23,95219856,210,1467,0,0,52,0,85,0,-4
0,0,64,23,-1601555584,197,1309,0,0,178,0,79,0,-4
0,0,209,24,1399804928,191,1379,0,0,174,0,69,0,-4
0,0,55,22,1027727744,189,808,0,0,39,0,76,0,-4
0,0,131,22,533951680,187,833,0,0,37,0,78,0,-4
0,0,120,24,938298880,154,1374,0,0,99,0,76,0,-4
0,0,69,24,-1495008768,150,1374,0,0,101,0,52,0,-1
0,0,33,24,-446689920,24,875,0,0,19,37,60,1,1
0,0,12,24,766665152,22,1021,0,0,0,97,74,0,-4
0,0,33,24,-26889034,117,933,0,0,33,37,75,0,-4
0,0,95,21,166807472,229,669,0,0,2,0,43,0,-3
0,0,38,20,-76719744,239,656,0,0,20,21,64,0,-3
0,0,174,24,747481216,18,1097,0,0,15,0,63,0,-3
0,0,45,20,-119644184,251,650,0,0,32,0,37,0,-1
0,0,4,22,431458496,189,800,0,0,25,119,78,0,-4
0,0,34,22,816345408,189,800,0,0,25,34,81,0,-4
0,0,42,21,632766016,251,656,0,0,8,10,68,0,-4
0,0,2,20,346486592,265,731,0,0,0,124,55,0,-3
0,0,350,20,-355778368,264,731,0,0,0,148,51,0,0
0,0,5,20,264857648,268,620,0,0,48,116,31,0,-2
0,0,63,20,49529100,267,634,0,0,47,0,45,0,-3
0,0,359,20,894850880,230,704,0,0,32,129,70,0,-4
0,0,38,20,546243456,232,704,0,0,34,22,44,0,-3
0,0,227,24,2145520000,25,1008,0,0,18,5,72,0,-4
0,0,11,20,109801736,281,608,0,0,61,100,64,0,-3
0,0,8,21,5707749,263,690,0,0,53,108,78,0,-4
0,0,357,20,78401208,293,613,0,0,0,0,63,0,-3
0,0,34,24,31982648,37,886,0,0,0,34,80,0,-4
0,0,26,20,124533928,302,621,0,0,74,58,56,0,-3
0,0,22,20,561551040,301,597,0,0,74,71,67,0,-4
0,0,359,19,199773728,313,815,0,0,40,129,76,0,-3
0,0,4,21,1626546688,279,716,0,0,71,118,84,0,-5
0,0,135,21,1051602176,283,718,0,0,16,0,78,0,-4
0,0,45,18,117946960,352,793,0,0,123,0,75,0,-4
0,0,85,19,1354638848,364,809,0,0,18,0,83,0,-5
0,0,250,18,2536710144,435,807,0,0,148,76,88,0,-6
0,0,310,18,1381481088,477,732,0,0,104,179,89,1,-6
0,0,316,18,-752670080,507,732,0,0,134,180,89,1,-6
0,0,234,19,4476515328,526,808,0,0,154,27,89,0,-6
0,0,221,19,1417276416,553,617,0,0,171,0,88,0,-6
0,0,240,19,4964253696,437,851,0,0,70,47,87,0,-6
0,0,93,19,8394902528,592,847,0,0,223,0,84,0,-5
0,0,175,19,1014049408,562,405,0,0,165,0,88,0,-6
0,0,315,18,4939195904,431,744,0,0,59,180,88,0,-6
0,0,1,18,1510329728,512,794,0,0,151,126,88,0,-6
0,0,17,18,1357090176,454,830,0,0,115,84,85,0,-5
0,0,163,18,4183046400,517,481,0,0,107,0,88,0,-6
0,0,226,19,-3440804608,599,691,0,0,202,3,89,0,-6
0,0,26,19,1631831296,435,826,0,0,68,59,88,0,-6
0,0,41,19,5097335808,477,826,0,0,110,11,88,0,-6
0,0,0,18,124943320,615,393,0,0,190,0,87,0,-5
0,0,10,18,566866496,518,866,0,0,223,103,88,0,-6
0,0,52,18,3111739648,452,584,0,0,55,0,82,0,-5
0,0,103,18,1187708032,452,584,0,0,55,0,85,0,-5
0,0,72,19,1519967872,537,687,0,0,116,0,88,0,-6
0,0,329,19,109802840,679,867,0,0,312,174,89,0,-6
0,0,70,18,7800617472,502,875,0,0,163,0,84,0,-5
0,0,19,21,2063604736,379,644,0,0,60,80,85,0,-5
0,0,332,18,2840909568,556,568,0,0,159,172,88,0,-6
0,0,33,19,-1449079936,444,868,0,0,17,37,88,1,-5
0,0,248,18,3566769152,451,930,0,0,111,69,84,0,-5
0,0,21,18,2807789312,657,644,0,0,231,72,88,0,-6
0,0,96,18,-3517002496,484,862,0,0,95,0,88,0,-6
0,0,334,18,3340264192,464,933,0,0,75,170,83,0,-5
0,0,122,20,2945447936,375,632,0,0,55,0,86,0,-5
0,0,68,18,1996625536,582,605,0,0,186,0,88,0,-6
0,0,28,18,1756451072,652,895,0,0,262,52,86,0,-5
0,0,69,18,-2481168896,588,571,0,0,192,0,88,0,-5
0,0,129,18,2816919040,659,746,0,0,207,0,87,0,-5
0,0,182,20,2638167040,394,810,0,0,63,0,84,0,-5
0,0,129,20,627227776,384,810,0,0,53,0,87,0,-6
0,0,348,18,5348798976,834,574,0,0,408,0,89,0,-6
0,0,22,18,2897718272,822,574,0,0,396,71,89,0,-6
0,0,350,18,3319230208,468,891,0,0,27,147,84,0,-5
0,0,249,18,3340043776,401,931,0,0,50,74,89,0,-6
0,0,55,20,-119830512,358,840,0,0,26,0,86,0,-5
0,0,67,20,1580390784,369,840,0,0,38,0,85,0,-5
0,0,119,18,6621084160,405,879,0,0,55,0,88,0,-6
0,0,0,18,1018701184,929,380,0,0,459,0,88,0,-6
0,0,330,20,-1843064192,404,685,0,0,110,174,88,0,-5
0,0,0,18,1448125440,865,436,0,0,395,0,88,0,-5
0,0,157,18,3919202304,723,872,0,0,271,0,89,0,-6
0,0,150,18,999413056,656,914,0,0,204,0,88,0,-5
0,0,20,18,-732458752,616,754,0,0,227,76,83,0,-5
0,0,342,18,2452470016,522,840,0,0,143,160,85,0,-5
0,0,290,18,1952160384,494,863,0,0,42,163,87,0,-6
0,0,205,18,-250487424,377,899,0,0,17,0,56,1,1
0,0,0,18,3817835008,1002,461,0,0,532,0,89,0,-7
0,0,34,18,1065323648,1056,664,0,0,615,33,89,0,-6
0,0,23,18,31859218,1085,664,0,0,645,68,89,0,-6
0,0,264,18,876218560,540,907,0,0,16,114,76,0,-4
0,0,269,18,3560945920,549,907,0,0,97,125,78,0,-4
0,0,339,18,5385462272,624,701,0,0,171,164,89,0,-6
0,0,86,18,1303668224,743,710,0,0,219,0,89,2,-5
0,0,42,24,198371520,13,1110,0,0,0,9,58,0,-3
0,0,238,21,1879448832,425,553,0,0,92,39,86,0,-5
0,0,125,18,5341931520,581,879,0,0,149,0,85,0,-5
0,0,138,18,7138154496,743,679,0,0,220,0,87,0,-6
0,0,58,18,4434521600,639,818,0,0,122,0,89,0,-6
0,0,163,18,275867936,619,960,0,0,96,0,88,1,-5
0,0,293,18,2957755136,546,884,0,0,85,167,62,0,-3
0,0,62,20,5142501888,397,718,0,0,100,0,87,0,-6
0,0,83,20,3864180224,382,718,0,0,85,0,86,0,-5
0,0,32,18,6201436672,481,795,0,0,58,42,87,0,-6
0,0,342,20,2339272960,370,918,0,0,116,160,70,0,-4
0,0,185,20,-311921888,358,918,0,0,86,0,86,0,-5
0,0,16,19,338104608,965,827,0,0,442,86,89,3,-6
0,0,17,19,6470072320,760,877,0,0,237,84,88,0,-6
0,0,292,19,-1419957760,417,852,0,0,52,165,79,0,-4
0,0,119,19,7231002112,451,750,0,0,56,0,83,0,-5
0,0,118,19,-1445484032,574,901,0,0,209,0,87,0,-6
0,0,128,19,-1738001664,551,901,0,0,186,0,88,0,-5
0,0,106,19,-191606368,430,903,0,0,157,0,85,0,-5
0,0,92,19,-2381882368,409,909,0,0,137,0,87,1,-4
0,0,159,19,-858195776,839,952,0,0,300,0,89,2,-5
0,0,100,19,-1211870976,943,990,0,0,404,0,89,2,-5
0,0,114,19,1051153472,642,888,0,0,151,0,88,0,-6
0,0,113,19,1382500736,617,888,0,0,125,0,88,0,-6
0,0,308,17,9073853440,624,832,0,0,166,179,88,0,-6
0,0,54,17,-1720330624,622,812,0,0,191,0,89,0,-6
0,0,101,17,15947873280,806,926,0,0,367,0,88,0,-6
0,0,0,18,2541175296,999,955,0,0,457,0,88,0,-6
0,0,81,19,-2505166336,550,841,0,0,59,0,86,1,-4
0,0,281,17,3155652608,831,878,0,0,373,150,87,0,-6
0,0,62,17,6038863872,669,923,0,0,230,0,87,0,-6
0,0,160,19,1977551360,642,1021,0,0,91,0,88,0,-6
0,0,349,19,1669281408,384,793,0,0,33,149,85,0,-5
0,0,328,17,5539062784,966,778,0,0,508,175,89,0,-7
0,0,162,19,-840284992,395,789,0,0,87,0,80,0,-4
0,0,355,17,3215352576,1019,778,0,0,580,137,88,0,-6
0,0,342,19,-1255291264,572,844,0,0,21,159,88,0,-5
0,0,105,18,-174385040,769,1059,0,0,218,0,89,1,-6
0,0,321,19,5784561152,623,728,0,0,72,179,88,0,-6
0,0,330,19,-238465776,578,975,0,0,26,173,68,0,-1
