Flood,Aspect,Rainfall,CurvPlan,DEM,NDVI,FlowAccum,FlodDistH,FlodDistV,Hillshade,Slope,SPI,TWI
0,274,5394,-1,1262,6764,3,1998,517,225,39,74,5
0,88,6959,0,31,4854,0,664,23,176,2,0,7
0,145,6924,2,63,6376,0,2056,61,89,25,0,4
0,305,6994,0,31,5035,0,4933,21,185,2,0,7
0,211,6970,-3,557,7271,7,30,0,156,19,73,7
0,45,5819,-1,502,7437,2,2477,416,141,38,46,5
0,352,6112,-1,630,8011,2,6497,591,216,18,20,6
0,56,6044,1,890,7796,1,3050,751,149,25,14,5
0,101,6692,-1,1006,8120,6,4725,419,113,21,70,6
0,78,6798,0,728,6665,2,2419,588,159,10,11,6
0,2,6924,0,23,5299,1,3048,20,190,5,3,7
0,197,6813,0,164,4733,1,2976,145,144,18,10,5
0,45,6731,-1,300,8205,1,1461,210,170,19,11,5
0,39,6434,2,1081,6136,1,3112,601,174,22,12,5
0,230,5839,1,1596,4905,3,4488,1082,167,27,46,5
0,34,6411,0,203,7124,0,4025,165,181,2,0,7
0,221,6625,0,650,8147,2,3743,390,153,28,31,5
0,327,5429,0,1301,8235,7,2339,405,245,31,126,6
0,298,6896,-2,158,7827,1,3082,138,245,34,20,4
0,186,7003,0,240,7397,0,1452,200,174,3,0,6
0,353,5539,0,527,6839,21,1404,233,206,12,137,8
0,345,6411,0,121,7259,2,1611,84,213,14,15,6
0,33,7032,1,417,7198,0,1102,402,169,34,0,4
0,333,5750,-1,1003,8327,14,5473,705,229,21,159,7
0,290,6863,0,584,6470,0,3284,575,184,1,0,7
0,209,6785,0,467,7985,0,3743,422,173,6,0,6
0,73,6745,-2,996,7566,2,240,79,119,28,32,5
0,60,6994,2,40,4062,0,3335,31,178,2,0,7
0,1,6510,1,1371,8364,1,1822,552,219,32,19,5
0,53,6994,1,44,4315,0,2828,35,176,6,0,6
0,93,6570,0,550,7797,4,7020,490,95,28,64,6
0,356,6850,1,659,8254,0,3356,401,197,8,0,5
0,89,6924,1,109,6196,0,2542,106,155,10,0,5
0,87,6682,0,70,6735,0,2528,63,167,6,0,6
0,56,6625,0,947,7817,1,4541,591,147,26,14,5
0,57,6807,0,26,4572,0,4274,20,178,2,0,7
0,245,6829,0,16,6098,0,1146,14,181,1,0,7
0,357,7163,-2,867,3465,2,1248,311,221,26,29,5
0,100,6147,-1,947,6508,13,4853,357,123,19,132,7
0,335,6824,-2,583,7779,7,2450,204,240,29,118,6
0,156,6340,1,786,8123,1,2955,446,79,28,16,5
0,181,6564,0,383,4523,1,5232,330,89,31,18,5
0,320,5730,3,500,7786,0,1662,322,221,16,0,5
0,253,6807,0,256,6242,3,2114,250,199,29,51,5
0,348,6829,1,40,5409,0,1149,37,192,5,0,6
0,228,6881,0,696,7878,9,2076,472,163,28,143,6
0,179,6610,0,1470,8394,1,1292,333,145,13,7,6
0,108,6807,0,53,6197,0,5272,47,151,9,0,5
0,314,6375,2,147,7026,1,1413,127,229,19,11,5
0,307,5797,2,1203,7567,0,4092,413,233,22,0,4
0,36,6798,-1,798,7944,58,5694,759,181,15,452,9
0,227,5952,0,677,7252,4,1896,367,167,23,52,6
0,86,6663,2,199,6772,0,4383,179,161,8,0,5
0,18,6994,1,42,4283,0,4286,32,186,5,0,6
0,148,6924,0,38,4096,0,330,35,173,2,0,7
0,196,7040,-1,960,1685,5,2381,782,137,21,58,6
0,360,6391,0,457,7744,7,5270,418,220,35,147,6
0,323,6073,0,463,6657,1,5135,424,227,19,10,5
0,345,7107,-1,276,6965,1,2320,256,235,31,18,5
0,284,6798,-1,704,8426,12,1831,539,227,24,164,7
